id;number_clusters;number_cluster_discussed;number_relations;number_relations_discussed;number_concepts;number_concepts_discussed;local_cohesion;number_sentences
1;2;2;17;17;17;17;0.25;13
2;1;1;27;27;18;18;0.6666666666666666;10
3;1;1;31;31;18;18;0.5714285714285714;8
4;3;3;19;19;21;19;0.5;9
5;6;6;24;24;26;26;0.25;21
6;1;1;67;67;30;30;0.5;17
7;2;2;49;49;42;42;0.5555555555555556;10
8;1;1;50;52;33;34;0.6;16
9;1;1;37;35;32;32;0.4;16
10;2;2;30;29;27;27;0.6666666666666666;13
11;2;2;27;27;28;28;0.4;21
12;2;2;63;61;49;49;0.375;25
13;3;3;27;27;22;22;0.7;11
14;3;3;13;12;16;16;0.4;6
15;1;1;50;50;32;32;0.8333333333333334;13
16;1;1;34;34;23;23;0.4166666666666667;13
17;2;1;22;22;20;19;0.4166666666666667;13
18;1;1;34;34;23;23;0.6666666666666666;10
19;1;2;53;53;41;45;0.21739130434782608;24
20;2;2;63;62;45;45;0.6923076923076923;14
21;2;2;77;76;55;60;0.42857142857142855;15
22;2;2;80;80;53;54;0.2857142857142857;15
23;1;2;111;102;58;61;0.4;16
24;6;6;29;30;28;28;0.0;9
25;3;3;61;61;50;52;0.4;16
26;6;6;47;48;37;37;0.2222222222222222;10
27;6;6;26;26;31;31;0.15384615384615385;14
28;1;1;56;56;30;29;0.75;9
29;1;1;63;63;34;35;0.5714285714285714;8
30;5;4;33;31;32;29;0.0;8
31;5;7;16;16;20;26;0.23076923076923078;14
32;1;1;58;58;39;37;0.3;11
33;2;2;35;36;24;24;0.25;13
34;1;1;21;21;12;12;0.0;9
35;2;1;109;109;57;56;0.3333333333333333;16
36;4;2;17;17;20;19;0.2857142857142857;8
37;1;2;27;29;21;24;0.5714285714285714;8
38;4;4;14;13;18;18;0.2727272727272727;12
39;3;3;19;20;20;20;0.125;9
40;2;2;24;26;21;21;0.5555555555555556;10
41;5;5;60;60;42;41;0.1875;17
42;6;6;53;52;54;54;0.30434782608695654;24
43;1;1;58;58;37;36;0.7;11
44;3;3;38;38;35;35;0.2222222222222222;10
45;1;1;55;59;28;28;0.6;11
46;1;1;59;60;36;36;0.8888888888888888;10
47;2;2;23;23;20;22;0.1;11
48;1;1;46;45;37;37;0.25;13
49;2;2;52;52;38;38;0.5555555555555556;10
50;5;4;26;28;27;28;0.2857142857142857;8
51;5;4;39;38;30;29;0.0;7
52;3;3;92;92;69;69;0.36363636363636365;12
53;4;4;43;43;35;36;0.2;11
54;2;2;54;54;34;34;0.5555555555555556;10
55;5;5;28;28;32;32;0.21428571428571427;15
56;1;1;87;87;34;34;0.8;6
57;6;6;29;29;33;33;0.36363636363636365;12
58;4;4;96;96;62;62;0.25;17
59;3;3;70;70;45;45;0.5;9
60;2;3;94;83;56;56;0.8;11
61;2;3;42;39;32;32;0.3333333333333333;7
62;2;2;16;16;16;16;0.5;7
63;3;2;24;24;20;19;0.2222222222222222;10
64;2;3;41;40;35;35;0.5833333333333334;13
65;3;3;21;21;23;23;0.3333333333333333;7
66;2;3;32;33;28;30;0.25;9
67;4;4;33;33;29;28;0.5;13
68;1;1;38;38;31;31;0.8888888888888888;10
69;4;5;20;20;21;25;0.2;11
70;2;2;34;34;27;27;0.5555555555555556;10
71;1;1;33;37;18;19;0.2;6
72;2;2;39;33;28;28;0.75;9
73;1;1;24;23;14;14;1.0;6
74;1;1;53;53;29;29;0.625;9
75;2;2;34;34;23;23;0.3333333333333333;10
76;2;2;19;19;18;18;0.375;9
77;3;3;15;15;14;14;0.2857142857142857;8
78;2;1;24;25;19;19;0.5714285714285714;8
79;3;3;30;30;23;23;0.3333333333333333;7
80;2;2;28;28;18;18;0.375;9
81;5;5;44;44;36;36;0.25;17
82;7;6;45;45;42;42;0.17391304347826086;24
83;4;4;50;50;44;44;0.058823529411764705;18
84;5;5;23;24;25;26;0.08333333333333333;13
85;5;5;29;29;27;27;0.09090909090909091;12
86;3;3;35;35;33;33;0.5714285714285714;15
87;3;3;43;43;32;32;0.23076923076923078;14
88;9;9;43;43;48;49;0.14285714285714285;29
89;4;5;73;80;46;49;0.4;26
90;1;1;56;56;36;36;0.55;21
91;2;2;32;32;25;26;0.375;9
92;2;2;42;45;27;27;0.42857142857142855;8
93;1;1;24;22;20;20;0.6;6
94;2;2;22;22;19;19;0.4;6
95;1;1;26;25;19;19;0.75;5
96;2;2;30;30;29;29;0.3333333333333333;7
97;1;1;23;23;21;21;0.625;9
98;1;1;21;20;20;20;0.4;6
99;1;1;22;22;18;18;0.7142857142857143;8
100;1;1;31;31;23;23;0.5;7
